root@surya--Legion-5:/workspace/HW2_Work/part3_plusY# python3 test.py   --stage 4   --variant A   --model models/stage4/variantA/run001/best/best_precision_model.zip   --success-distance 0.10   --episodes 5   --step-dt 0.05   --log-position-every 2
[pose] step=290 target_index=1/1 pos=(0.23, 0.86, 1.59) target=(0.56, 0.03, 1.45) distance=0.91
[pose] step=292 target_index=1/1 pos=(0.19, 0.83, 1.59) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=294 target_index=1/1 pos=(0.19, 0.83, 1.59) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=296 target_index=1/1 pos=(0.19, 0.83, 1.59) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=298 target_index=1/1 pos=(0.19, 0.83, 1.59) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=300 target_index=1/1 pos=(0.07, 0.40, 1.53) target=(0.56, 0.03, 1.45) distance=0.61
[pose] step=302 target_index=1/1 pos=(0.08, 0.28, 1.51) target=(0.56, 0.03, 1.45) distance=0.55
[pose] step=304 target_index=1/1 pos=(0.09, 0.18, 1.48) target=(0.56, 0.03, 1.45) distance=0.49
[pose] step=306 target_index=1/1 pos=(0.12, 0.09, 1.45) target=(0.56, 0.03, 1.45) distance=0.45
[pose] step=308 target_index=1/1 pos=(0.17, 0.02, 1.42) target=(0.56, 0.03, 1.45) distance=0.39
[pose] step=310 target_index=1/1 pos=(0.24, -0.03, 1.39) target=(0.56, 0.03, 1.45) distance=0.33
[pose] step=312 target_index=1/1 pos=(0.33, -0.06, 1.37) target=(0.56, 0.03, 1.45) distance=0.26
[pose] step=314 target_index=1/1 pos=(0.43, -0.09, 1.35) target=(0.56, 0.03, 1.45) distance=0.20
[pose] step=316 target_index=1/1 pos=(0.55, -0.10, 1.33) target=(0.56, 0.03, 1.45) distance=0.17
[pose] step=318 target_index=1/1 pos=(0.67, -0.11, 1.32) target=(0.56, 0.03, 1.45) distance=0.22
[pose] step=320 target_index=1/1 pos=(0.79, -0.11, 1.30) target=(0.56, 0.03, 1.45) distance=0.30
[pose] step=322 target_index=1/1 pos=(0.90, -0.11, 1.29) target=(0.56, 0.03, 1.45) distance=0.40
[pose] step=324 target_index=1/1 pos=(0.99, -0.09, 1.27) target=(0.56, 0.03, 1.45) distance=0.48
[pose] step=326 target_index=1/1 pos=(1.07, -0.05, 1.26) target=(0.56, 0.03, 1.45) distance=0.55
[pose] step=328 target_index=1/1 pos=(1.12, 0.02, 1.25) target=(0.56, 0.03, 1.45) distance=0.60
[pose] step=330 target_index=1/1 pos=(1.16, 0.10, 1.25) target=(0.56, 0.03, 1.45) distance=0.64
[pose] step=332 target_index=1/1 pos=(1.19, 0.20, 1.26) target=(0.56, 0.03, 1.45) distance=0.68
[pose] step=334 target_index=1/1 pos=(1.21, 0.31, 1.28) target=(0.56, 0.03, 1.45) distance=0.73
[pose] step=336 target_index=1/1 pos=(1.22, 0.43, 1.31) target=(0.56, 0.03, 1.45) distance=0.78
[pose] step=338 target_index=1/1 pos=(1.22, 0.54, 1.33) target=(0.56, 0.03, 1.45) distance=0.84
[pose] step=340 target_index=1/1 pos=(1.20, 0.64, 1.35) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=342 target_index=1/1 pos=(1.17, 0.73, 1.37) target=(0.56, 0.03, 1.45) distance=0.93
[pose] step=344 target_index=1/1 pos=(1.12, 0.79, 1.38) target=(0.56, 0.03, 1.45) distance=0.95
[pose] step=346 target_index=1/1 pos=(1.05, 0.84, 1.40) target=(0.56, 0.03, 1.45) distance=0.95
[pose] step=348 target_index=1/1 pos=(0.96, 0.87, 1.43) target=(0.56, 0.03, 1.45) distance=0.93
[pose] step=350 target_index=1/1 pos=(0.85, 0.89, 1.46) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=352 target_index=1/1 pos=(0.73, 0.90, 1.49) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=354 target_index=1/1 pos=(0.61, 0.91, 1.52) target=(0.56, 0.03, 1.45) distance=0.88
[pose] step=356 target_index=1/1 pos=(0.50, 0.91, 1.55) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=358 target_index=1/1 pos=(0.39, 0.90, 1.57) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=360 target_index=1/1 pos=(0.29, 0.88, 1.59) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=362 target_index=1/1 pos=(0.22, 0.84, 1.60) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=364 target_index=1/1 pos=(0.16, 0.79, 1.59) target=(0.56, 0.03, 1.45) distance=0.87
[pose] step=366 target_index=1/1 pos=(0.11, 0.71, 1.58) target=(0.56, 0.03, 1.45) distance=0.82
[pose] step=368 target_index=1/1 pos=(0.08, 0.61, 1.57) target=(0.56, 0.03, 1.45) distance=0.76
[pose] step=370 target_index=1/1 pos=(0.06, 0.50, 1.56) target=(0.56, 0.03, 1.45) distance=0.69
[pose] step=372 target_index=1/1 pos=(0.05, 0.39, 1.54) target=(0.56, 0.03, 1.45) distance=0.63
[pose] step=374 target_index=1/1 pos=(0.05, 0.27, 1.51) target=(0.56, 0.03, 1.45) distance=0.57
[pose] step=376 target_index=1/1 pos=(0.06, 0.17, 1.49) target=(0.56, 0.03, 1.45) distance=0.52
[pose] step=378 target_index=1/1 pos=(0.09, 0.09, 1.46) target=(0.56, 0.03, 1.45) distance=0.47
[pose] step=380 target_index=1/1 pos=(0.15, 0.02, 1.43) target=(0.56, 0.03, 1.45) distance=0.41
[pose] step=382 target_index=1/1 pos=(0.22, -0.03, 1.40) target=(0.56, 0.03, 1.45) distance=0.35
[pose] step=384 target_index=1/1 pos=(0.31, -0.06, 1.37) target=(0.56, 0.03, 1.45) distance=0.27
[pose] step=386 target_index=1/1 pos=(0.42, -0.08, 1.35) target=(0.56, 0.03, 1.45) distance=0.20
[pose] step=388 target_index=1/1 pos=(0.54, -0.09, 1.33) target=(0.56, 0.03, 1.45) distance=0.17
[pose] step=390 target_index=1/1 pos=(0.65, -0.10, 1.32) target=(0.56, 0.03, 1.45) distance=0.21
[pose] step=392 target_index=1/1 pos=(0.77, -0.10, 1.30) target=(0.56, 0.03, 1.45) distance=0.29
[pose] step=394 target_index=1/1 pos=(0.88, -0.10, 1.29) target=(0.56, 0.03, 1.45) distance=0.38
[pose] step=396 target_index=1/1 pos=(0.98, -0.08, 1.27) target=(0.56, 0.03, 1.45) distance=0.47
[pose] step=398 target_index=1/1 pos=(1.06, -0.05, 1.26) target=(0.56, 0.03, 1.45) distance=0.54
[pose] step=400 target_index=1/1 pos=(1.12, 0.01, 1.25) target=(0.56, 0.03, 1.45) distance=0.59
[pose] step=402 target_index=1/1 pos=(1.16, 0.09, 1.25) target=(0.56, 0.03, 1.45) distance=0.63
[pose] step=404 target_index=1/1 pos=(1.19, 0.20, 1.26) target=(0.56, 0.03, 1.45) distance=0.68
[pose] step=406 target_index=1/1 pos=(1.21, 0.31, 1.28) target=(0.56, 0.03, 1.45) distance=0.72
[pose] step=408 target_index=1/1 pos=(1.22, 0.43, 1.30) target=(0.56, 0.03, 1.45) distance=0.78
[pose] step=410 target_index=1/1 pos=(1.22, 0.54, 1.32) target=(0.56, 0.03, 1.45) distance=0.84
[pose] step=412 target_index=1/1 pos=(1.21, 0.64, 1.35) target=(0.56, 0.03, 1.45) distance=0.90
[pose] step=414 target_index=1/1 pos=(1.19, 0.73, 1.36) target=(0.56, 0.03, 1.45) distance=0.95
[pose] step=416 target_index=1/1 pos=(1.14, 0.80, 1.38) target=(0.56, 0.03, 1.45) distance=0.97
[pose] step=418 target_index=1/1 pos=(1.08, 0.85, 1.40) target=(0.56, 0.03, 1.45) distance=0.97
