episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
141,23921,50,305.69216166,306.12316304,12,0
142,24026,50,306.27006126,306.12316304,13,0
143,24120,50,306.67440704,306.12316304,14,0
144,24229,50,306.65016918000003,306.12316304,15,0
145,24359,50,306.93611382,306.12316304,16,0
146,24447,50,306.5778887,306.12316304,17,0
147,24612,50,306.39547956,306.12316304,18,0
148,24753,50,306.39235566,306.12316304,19,0
149,24867,50,307.09013052,306.12316304,20,0
150,24993,50,307.50722952,307.50722952,0,0
151,25100,50,307.9393986200001,307.50722952,1,0
152,25203,50,308.39678576000006,307.50722952,2,0
153,25340,50,308.26409926,307.50722952,3,0
154,25445,50,308.99752308,308.99752308,0,0
155,25548,50,308.99382264,308.99752308,1,0
156,25670,50,309.25241568,308.99752308,2,0
157,25752,50,310.43092928,310.43092928,0,0
158,26027,50,309.87420793999996,310.43092928,1,0
159,26134,50,310.07606618,310.43092928,2,0
160,26280,50,310.03623658,310.43092928,3,0
161,26420,50,310.2773607,310.43092928,4,0
162,26598,50,309.47727282,310.43092928,5,0
163,26672,50,309.67979052,310.43092928,6,0
164,26812,50,309.3470708,310.43092928,7,0
165,27001,50,309.33302552,310.43092928,8,0
166,27069,50,309.14015974,310.43092928,9,0
167,27187,50,308.75898788,310.43092928,10,0
168,27687,50,306.32587722000005,310.43092928,11,0
169,27825,50,306.08256586000005,310.43092928,12,0
170,27966,50,306.21014942000005,310.43092928,13,0
171,28108,50,306.14143576000004,310.43092928,14,0
172,28230,50,306.21546118000003,310.43092928,15,0
173,28375,50,305.95435534000006,310.43092928,16,0
